Sub_Sector,Sector,PE_Count,PE_Median,EVEBITDA_Count,EVEBITDA_Median,Total_Companies
General,Basic Materials,10.0,9.44,14.0,8.08,18.0
Chemicals,Basic Materials,1.0,9.38,3.0,4.06,4.0
Specialty Chemicals,Basic Materials,3.0,7.63,3.0,6.84,4.0
Building Materials,Basic Materials,2.0,48.08,2.0,8.08,3.0
Steel,Basic Materials,3.0,6.6,3.0,6.22,3.0
Lumber & Wood Production,Basic Materials,1.0,26.25,1.0,8.23,2.0
Aluminum,Basic Materials,0.0,,1.0,12.7,1.0
Other Industrial Metals & Mining,Basic Materials,0.0,,1.0,24.58,1.0
General,Communication Services,5.0,15.0,7.0,14.36,10.0
Telecom Services,Communication Services,3.0,17.0,4.0,12.35,4.0
Advertising Agencies,Communication Services,1.0,7.0,1.0,76.09,3.0
Entertainment,Communication Services,1.0,2.97,2.0,12.64,3.0
General,Consumer Cyclical,29.0,12.75,40.0,9.76,52.0
Lodging,Consumer Cyclical,6.0,18.18,10.0,18.84,11.0
Restaurants,Consumer Cyclical,3.0,16.25,6.0,16.85,9.0
"Furnishings, Fixtures & Appliances",Consumer Cyclical,1.0,2.78,2.0,227.81,4.0
Luxury Goods,Consumer Cyclical,4.0,7.68,4.0,6.84,4.0
Auto Parts,Consumer Cyclical,1.0,14.67,2.0,8.32,3.0
Department Stores,Consumer Cyclical,2.0,10.95,1.0,10.11,3.0
Leisure,Consumer Cyclical,2.0,8.98,3.0,2.4,3.0
Specialty Retail,Consumer Cyclical,2.0,4.3,3.0,5.86,3.0
Packaging & Containers,Consumer Cyclical,2.0,11.44,3.0,5.57,3.0
Auto & Truck Dealerships,Consumer Cyclical,1.0,18.13,1.0,11.96,2.0
Apparel Retail,Consumer Cyclical,1.0,5.63,1.0,11.58,2.0
Resorts & Casinos,Consumer Cyclical,2.0,13.0,2.0,8.58,2.0
Auto Manufacturers,Consumer Cyclical,1.0,14.08,1.0,10.48,1.0
Apparel Manufacturing,Consumer Cyclical,1.0,18.3,1.0,5.93,1.0
General,Consumer Defensive,15.0,11.75,20.0,7.79,22.0
